"","floor","hour","week","direction","total","count","avgWait"
"193","B1",9,"3","up",25.59,5,5.118
"194","B1",9,"4","up",17.26,5,3.452
"195","B1",9,"5","up",45.99,12,3.8325
"196","B1",9,"6","up",3.19,2,1.595
"197","B1",10,"0","up",1.6,1,1.6
"198","B1",10,"1","up",6.15,4,1.5375
"199","B1",10,"2","up",4.99,3,1.66333333333333
"200","B1",10,"3","up",7.92,5,1.584
"201","B1",10,"4","up",17.44,6,2.90666666666667
"202","B1",10,"5","up",25.61,11,2.32818181818182
"203","B1",10,"6","up",15.8,4,3.95
"204","B1",11,"0","up",1.57,1,1.57
"205","B1",11,"1","up",28.84,7,4.12
"206","B1",11,"2","up",11.14,2,5.57
"207","B1",11,"3","up",36.35,6,6.05833333333333
"208","B1",11,"4","up",12.7,3,4.23333333333333
"209","B1",11,"5","up",27.08,5,5.416
"210","B1",12,"0","up",1.6,1,1.6
"211","B1",12,"1","up",97.42,9,10.8244444444444
"212","B1",12,"2","up",55.53,9,6.17
"213","B1",12,"3","up",37.01,6,6.16833333333333
"214","B1",12,"4","up",50.91,5,10.182
"215","B1",12,"5","up",55.42,14,3.95857142857143
"216","B1",12,"6","up",12.52,8,1.565
"217","B1",13,"0","up",3.23,2,1.615
"218","B1",13,"1","up",28.95,6,4.825
"219","B1",13,"2","up",1.6,1,1.6
"220","B1",13,"3","up",3.35,2,1.675
"221","B1",13,"4","up",27.24,6,4.54
"222","B1",13,"5","up",30.57,7,4.36714285714286
"223","B1",14,"0","up",106.8,11,9.70909090909091
"224","B1",14,"1","up",40.29,8,5.03625
"225","B1",14,"2","up",128.46,13,9.88153846153846
"226","B1",14,"3","up",70.44,8,8.805
"227","B1",14,"4","up",43.33,11,3.93909090909091
"228","B1",14,"5","up",119.93,14,8.56642857142857
"229","B1",14,"6","up",25.51,6,4.25166666666667
"230","B1",15,"0","up",33.67,4,8.4175
"231","B1",15,"1","up",6.1,4,1.525
"232","B1",15,"2","up",38.46,6,6.41
"233","B1",15,"3","up",59.4,8,7.425
"234","B1",15,"4","up",29.08,7,4.15428571428571
"235","B1",15,"5","up",151.3,18,8.40555555555556
"236","B1",15,"6","up",25.6,4,6.4
"237","B1",16,"0","up",73.41,9,8.15666666666667
"238","B1",16,"1","up",174.09,16,10.880625
"239","B1",16,"2","up",128.19,12,10.6825
"240","B1",16,"3","up",22.5,8,2.8125
"241","B1",16,"4","up",119.86,13,9.22
"242","B1",16,"5","up",196.48,25,7.8592
"243","B1",16,"6","up",22.14,7,3.16285714285714
"244","B1",17,"1","up",105.48,12,8.79
"245","B1",17,"2","up",73.39,10,7.339
"246","B1",17,"3","up",49.03,6,8.17166666666667
"247","B1",17,"4","up",98.98,10,9.898
"248","B1",17,"5","up",65.03,11,5.91181818181818
"249","B1",18,"0","up",1.52,1,1.52
"250","B1",18,"1","up",12.66,2,6.33
"251","B1",18,"2","up",13,3,4.33333333333333
"252","B1",18,"3","up",19.31,5,3.862
"253","B1",18,"5","up",14.29,3,4.76333333333333
"254","B1",18,"6","up",6.66,4,1.665
"255","B1",19,"1","up",12.85,2,6.425
"256","B1",19,"2","up",3.09,2,1.545
"257","B1",19,"3","up",3.23,2,1.615
"258","B1",19,"5","up",3.18,2,1.59
"259","B1",19,"6","up",1.51,1,1.51
"260","B1",20,"0","up",1.61,1,1.61
"261","B1",20,"1","up",1.59,1,1.59
"262","B1",20,"3","up",3.11,2,1.555
"263","B1",20,"4","up",1.57,1,1.57
"264","B1",20,"5","up",1.6,1,1.6
"265","B1",20,"6","up",5.01,3,1.67
"266","B1",21,"0","up",28.97,6,4.82833333333333
"267","B1",21,"1","up",27.07,5,5.414
"268","B1",21,"2","up",23.86,8,2.9825
"269","B1",21,"3","up",4.83,3,1.61
"270","B1",21,"4","up",3.2,2,1.6
"271","B1",21,"5","up",31.66,8,3.9575
"272","B1",21,"6","up",27.13,5,5.426
"273","B1",22,"0","up",4.65,3,1.55
"274","B1",22,"3","up",6.39,4,1.5975
"275","B1",22,"5","up",3.28,2,1.64
"276","B1",23,"0","up",18.92,7,2.70285714285714
"277","B1",23,"1","up",6.34,4,1.585
"278","B1",23,"2","up",14.33,3,4.77666666666667
"279","B1",23,"3","up",3.16,2,1.58
"280","B1",23,"4","up",3.22,2,1.61
"281","B1",23,"5","up",4.66,3,1.55333333333333
"282","B1",23,"6","up",8.06,5,1.612
